Fecha_Hora,Radiacion_W_m2,Temperatura_C
2025-04-23 00:00:00,0.0,8.69
2025-04-23 01:00:00,0.0,9.16
2025-04-23 02:00:00,0.0,8.29
2025-04-23 03:00:00,0.0,7.62
2025-04-23 04:00:00,0.0,7.07
2025-04-23 05:00:00,0.0,6.46
2025-04-23 06:00:00,58.7,7.95
2025-04-23 07:00:00,188.4,11.1
2025-04-23 08:00:00,333.98,13.8
2025-04-23 09:00:00,505.7,16.15
2025-04-23 10:00:00,620.95,17.73
2025-04-23 11:00:00,603.2,18.52
2025-04-23 12:00:00,549.28,18.54
2025-04-23 13:00:00,296.65,18.33
2025-04-23 14:00:00,247.85,17.51
2025-04-23 15:00:00,150.98,16.35
2025-04-23 16:00:00,47.3,14.9
2025-04-23 17:00:00,0.0,11.74
2025-04-23 18:00:00,0.0,9.88
2025-04-23 19:00:00,0.0,8.93
2025-04-23 20:00:00,0.0,9.01
2025-04-23 21:00:00,0.0,7.48
2025-04-23 22:00:00,0.0,6.53
2025-04-23 23:00:00,0.0,6.2
2025-04-24 00:00:00,0.0,5.95
2025-04-24 01:00:00,0.0,5.72
2025-04-24 02:00:00,0.0,5.51
2025-04-24 03:00:00,0.0,5.27
2025-04-24 04:00:00,0.0,4.87
2025-04-24 05:00:00,0.0,4.39
2025-04-24 06:00:00,91.15,7.01
2025-04-24 07:00:00,315.8,12.42
2025-04-24 08:00:00,542.67,15.39
2025-04-24 09:00:00,720.38,18.07
2025-04-24 10:00:00,870.67,20.02
2025-04-24 11:00:00,904.42,21.44
2025-04-24 12:00:00,869.67,22.27
2025-04-24 13:00:00,766.83,22.49
2025-04-24 14:00:00,589.4,22.03
2025-04-24 15:00:00,371.55,20.77
2025-04-24 16:00:00,128.07,18.11
2025-04-24 17:00:00,0.0,12.47
2025-04-24 18:00:00,0.0,11.04
2025-04-24 19:00:00,0.0,11.55
2025-04-24 20:00:00,0.0,9.91
2025-04-24 21:00:00,0.0,7.74
2025-04-24 22:00:00,0.0,7.04
2025-04-24 23:00:00,0.0,6.67
2025-04-25 00:00:00,0.0,6.37
2025-04-25 01:00:00,0.0,6.39
2025-04-25 02:00:00,0.0,6.38
2025-04-25 03:00:00,0.0,6.65
2025-04-25 04:00:00,0.0,6.6
2025-04-25 05:00:00,0.0,6.24
2025-04-25 06:00:00,110.28,7.46
2025-04-25 07:00:00,354.7,12.96
2025-04-25 08:00:00,591.28,16.49
2025-04-25 09:00:00,775.08,18.96
2025-04-25 10:00:00,878.17,20.46
2025-04-25 11:00:00,911.72,21.46
2025-04-25 12:00:00,885.2,22.18
2025-04-25 13:00:00,772.88,22.45
2025-04-25 14:00:00,598.15,22.08
2025-04-25 15:00:00,369.05,20.94
2025-04-25 16:00:00,129.1,18.26
2025-04-25 17:00:00,0.0,12.45
2025-04-25 18:00:00,0.0,10.94
2025-04-25 19:00:00,0.0,11.43
2025-04-25 20:00:00,0.0,8.77
2025-04-25 21:00:00,0.0,7.6
2025-04-25 22:00:00,0.0,7.33
2025-04-25 23:00:00,0.0,7.28
2025-04-26 00:00:00,0.0,7.61
2025-04-26 01:00:00,0.0,8.01
2025-04-26 02:00:00,0.0,8.06
2025-04-26 03:00:00,0.0,7.96
2025-04-26 04:00:00,0.0,7.52
2025-04-26 05:00:00,0.0,6.78
2025-04-26 06:00:00,95.03,7.77
2025-04-26 07:00:00,313.77,13.07
2025-04-26 08:00:00,525.0,16.43
2025-04-26 09:00:00,751.28,19.17
2025-04-26 10:00:00,866.2,21.01
2025-04-26 11:00:00,904.33,22.23
2025-04-26 12:00:00,819.0,22.89
2025-04-26 13:00:00,754.58,22.92
2025-04-26 14:00:00,552.25,22.27
2025-04-26 15:00:00,328.23,20.83
2025-04-26 16:00:00,105.8,17.77
2025-04-26 17:00:00,0.0,11.97
2025-04-26 18:00:00,0.0,10.65
2025-04-26 19:00:00,0.0,10.61
2025-04-26 20:00:00,0.0,7.91
2025-04-26 21:00:00,0.0,7.13
2025-04-26 22:00:00,0.0,6.82
2025-04-26 23:00:00,0.0,6.63
2025-04-27 00:00:00,0.0,7.13
2025-04-27 01:00:00,0.0,7.52
2025-04-27 02:00:00,0.0,7.59
2025-04-27 03:00:00,0.0,7.45
2025-04-27 04:00:00,0.0,7.06
2025-04-27 05:00:00,0.0,6.59
2025-04-27 06:00:00,109.12,7.62
2025-04-27 07:00:00,362.98,13.1
2025-04-27 08:00:00,599.17,16.71
2025-04-27 09:00:00,776.78,19.49
2025-04-27 10:00:00,882.47,21.13
2025-04-27 11:00:00,918.6,22.19
2025-04-27 12:00:00,881.35,22.84
2025-04-27 13:00:00,778.2,22.92
2025-04-27 14:00:00,605.0,22.38
2025-04-27 15:00:00,376.3,21.0
2025-04-27 16:00:00,128.3,17.6
2025-04-27 17:00:00,0.0,12.54
2025-04-27 18:00:00,0.0,12.23
